team,venue,type
Pittsburgh Penguins,PPG Paints Arena,Arena
Toronto Maple Leafs,Scotiabank Arena,Arena
Vancouver Canucks,Rogers Arena,Arena
Tampa Bay Lightning,Amalie Arena,Arena
New York Islanders,UBS Arena,Arena
Ottawa Senators,Canadian Tire Centre,Centre
Calgary Flames,Scotiabank Saddledome,Saddledome
Philadelphia Flyers,Wells Fargo Center,Center
Chicago Blackhawks,United Center,Center
Colorado Avalanche,Ball Arena,Arena
Montréal Canadiens,Bell Centre,Centre
Winnipeg Jets,Canada Life Centre,Centre
Vegas Golden Knights,T-Mobile Arena,Arena
San Jose Sharks,SAP Center,Center
Florida Panthers,FLA Live Arena,Arena
Carolina Hurricanes,PNC Arena,Arena
Los Angeles Kings,Staples Center,Center
Dallas Stars,American Airlines Center,Center
Nashville Predators,Bridgestone Arena,Arena
Minnesota Wild,Xcel Energy Center,Center
New York Rangers,Madison Square Garden,Garden
St. Louis Blues,Enterprise Center,Center
Edmonton Oilers,Rogers Place,Place
Buffalo Sabres,KeyBank Center,Center
Detroit Red Wings,Little Caesars Arena,Arena
Boston Bruins,TD Garden,Garden
Washington Capitals,Capital One Arena,Arena
Anaheim Ducks,Honda Center,Center
Columbus Blue Jackets,Nationwide Arena,Arena
New Jersey Devils,Prudential Center,Center
Arizona Coyotes,Gila River Arena,Arena